family,diameter,length,length_in,bolt_nut_lb_per_100,washer_lb_per_100,set_weight_each_lb,source
A325 Bolt Set,1/2,1,1.0,16.5,2.1,0.186,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,5/8,1,1.0,29.4,3.6,0.33,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,3/4,1,1.0,47.0,4.8,0.518,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1/2,1-1/4,1.25,17.8,2.1,0.199,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,5/8,1-1/4,1.25,31.1,3.6,0.347,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,3/4,1-1/4,1.25,49.6,4.8,0.544,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,7/8,1-1/4,1.25,74.4,7.0,0.814,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1,1-1/4,1.25,104,9.4,1.134,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,1/2,1-1/2,1.5,19.2,2.1,0.213,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
A325 Bolt Set,5/8,1-1/2,1.5,33.1,3.6,0.367,"AISC Manual ""Weight of ASTM A325 or A490 high strength bolts"" (docs/A325.pdf); set = bolt + heavy hex nut + 1 plain round washer"
