line,diameter,length,plain,hdg,notes
1,1/2,1,,,SUBBED ALL A536-DH
2,1/2,1-1/2,0.5437,0.6544,WITH A194-2H
3,1/2,2,0.6779,0.7577,
4,1/2,2-1/2,0.7542,0.9014,PRICES ARE CURRENT
5,1/2,3,0.8621,1.0755,AVAILABILITY IS SPARCE
6,1/2,3-1/2,0.5662,0.7269,PARTS WILL REQUIRE A REQUOTE
7,1/2,4,1.0257,1.2849,FOR PURCHASE
8,1/2,4-1/2,,,
9,1/2,5,1.2304,1.5354,***ALL UNASSEMBLED***
10,1/2,5-1/2,,,
11,1/2,6,1.401,,
12,5/8,1,,,
13,5/8,1-1/2,0.7915,1.0436,
14,5/8,2,0.8598,1.1228,
15,5/8,2-1/2,1.024,1.3076,
16,5/8,3,1.1686,1.1527,
17,5/8,3-1/2,,1.6889,
18,5/8,4,,1.8323,
19,5/8,4-1/2,,1.9759,
20,5/8,5,,2.1193,
21,5/8,5-1/2,,,
22,5/8,6,,1.71,
23,5/8,6-1/2,,,
24,5/8,7,,,
25,5/8,7-1/2,3.0424,,
26,5/8,8,,,
27,3/4,1,,,
28,3/4,1-1/2,1.3272,1.7141,
29,3/4,2,1.2636,1.6983,
30,3/4,2-1/2,1.3892,1.8541,
31,3/4,3,1.6054,2.0408,
32,3/4,3-1/2,1.8776,2.4668,
33,3/4,4,2.1086,2.715,
34,3/4,4-1/2,2.3598,2.8018,
35,3/4,5,2.5243,3.1249,
36,3/4,5-1/2,2.6916,2.3939,
37,3/4,6,2.9702,3.5384,
38,3/4,6-1/2,3.6299,,
39,3/4,7,3.8657,4.7653,
40,3/4,7-1/2,4.0647,,
41,3/4,8,4.2709,5.2665,
42,7/8,1-1/2,,,
43,7/8,2,1.9755,2.7653,
44,7/8,2-1/2,2.1714,2.9679,
45,7/8,3,2.4393,3.2739,
46,7/8,3-1/2,2.8888,2.741,
47,7/8,4,3.1768,3.9803,
48,7/8,4-1/2,3.4263,4.2912,
49,7/8,5,3.6457,4.5645,
50,7/8,5-1/2,3.8651,4.8377,
51,7/8,6,4.0845,,
52,7/8,6-1/2,5.2034,,
53,7/8,7,5.4685,,
54,7/8,7-1/2,5.7412,,
55,7/8,8,6.0063,,
56,7/8,8-1/2,6.3939,10.2047,
57,1,1-1/2,,,
58,1,2,3.4065,4.2207,
59,1,2-1/2,3.1682,4.3763,
60,1,3,3.7852,4.455,
61,1,3-1/2,4.1551,4.8115,
62,1,4,4.3696,5.4272,
63,1,4-1/2,5.0542,5.9056,
64,1,5,5.4013,6.3381,
65,1,5-1/2,5.7398,7.0212,
66,1,6,6.0477,7.0911,
67,1,6-1/2,7.9786,,
68,1,7,8.4139,,
69,1,7-1/2,8.8117,,
70,1,8,9.8907,,
71,1,8-1/2,,,
72,1-1/8,1-1/2,,,
73,1-1/8,2,,,
74,1-1/8,2-1/2,6.378,7.3031,
75,1-1/8,3,6.0158,,
76,1-1/8,3-1/2,6.444,8.5423,
77,1-1/8,4,,9.1431,
78,1-1/8,4-1/2,7.7275,,
79,1-1/8,5,7.7946,10.3021,
80,1-1/8,5-1/2,8.2558,10.9031,
81,1-1/8,6,,11.461,
82,1-1/8,6-1/2,9.4605,12.019,
83,1-1/8,7,9.9091,12.5769,
84,1-1/8,7-1/2,10.3923,13.1778,
85,1-1/8,8,,,
86,1-1/8,8-1/2,11.3241,14.3368,
87,1-1/4,1-1/2,,,
88,1-1/4,2,,,
89,1-1/4,2-1/2,8.2402,7.9653,
90,1-1/4,3,8.0095,10.0735,
91,1-1/4,3-1/2,8.4296,10.3758,
92,1-1/4,4,9.1397,7.1249,
93,1-1/4,4-1/2,9.7217,11.927,
94,1-1/4,5,,12.6257,
95,1-1/4,5-1/2,12.4302,8.3821,
96,1-1/4,6,13.0122,8.8207,
97,1-1/4,6-1/2,12.4433,9.4292,
98,1-1/4,7,13.0532,15.7012,
99,1-1/4,7-1/2,15.0974,10.3129,
100,1-1/4,8,14.2369,17.0976,
101,1-1/4,8-1/2,,,
102,1-1/4,9,,,
103,1-3/8,2,,,
104,1-3/8,2-1/2,,,
105,1-3/8,3,,,
106,1-3/8,3-1/2,,,
107,1-3/8,4,,,
108,1-3/8,4-1/2,,,
109,1-3/8,5,,,
110,1-3/8,5-1/2,,,
111,1-3/8,6,,,
112,1-3/8,6-1/2,,,
113,1-3/8,7,,,
114,1-3/8,7-1/2,,,
115,1-3/8,8,,,
116,1-3/8,8-1/2,,,
117,1-3/8,9,,,
118,1-1/2,2,,,
119,1-1/2,2-1/2,,,
120,1-1/2,3,11.8827,10.0491,
121,1-1/2,3-1/2,,10.5881,
122,1-1/2,4,,11.3842,
123,1-1/2,4-1/2,14.3462,12.0502,
124,1-1/2,5,15.0487,12.6721,
125,1-1/2,5-1/2,16.1577,13.0125,
126,1-1/2,6,16.9561,13.9353,
127,1-1/2,6-1/2,,14.2379,
128,1-1/2,7,18.2833,14.6967,
129,1-1/2,7-1/2,18.9265,15.7874,
130,1-1/2,8,,17.9932,
131,1-1/2,8-1/2,,,
132,1-1/2,9,,,
