family,diameter,length,length_in,bit_dia_in,hef_min_in,hef_max_in,weight_each_lb_est,adhesive,source,unit_price,price_source
"HAS-V-36 (F1554 Gr36, zinc)",3/8,4-3/8,4.375,7/16,2-3/8,7-1/2,0.176,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),3.00,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-V-36 (F1554 Gr36, zinc)",3/8,5-1/8,5.125,7/16,2-3/8,7-1/2,0.199,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),3.52,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-V-36 (F1554 Gr36, zinc)",3/8,8,8.0,7/16,2-3/8,7-1/2,0.288,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),5.52,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-V-36 (F1554 Gr36, zinc)",1/2,4-1/2,4.5,9/16,2-3/4,10,0.338,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),4.12,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-V-36 (F1554 Gr36, zinc)",1/2,6-1/2,6.5,9/16,2-3/4,10,0.45,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),5.96,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-V-36 (F1554 Gr36, zinc)",1/2,8,8.0,9/16,2-3/4,10,0.534,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),7.28,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-V-36 (F1554 Gr36, zinc)",5/8,6,6.0,3/4,3-1/8,12-1/2,0.678,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),6.88,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-V-36 (F1554 Gr36, zinc)",5/8,8,8.0,3/4,3-1/8,12-1/2,0.852,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),9.12,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-V-36 (F1554 Gr36, zinc)",5/8,10,10.0,3/4,3-1/8,12-1/2,1.026,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),11.44,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
"HAS-V-36 (F1554 Gr36, zinc)",5/8,12,12.0,3/4,3-1/8,12-1/2,1.2,HIT-HY 200 V3 or HIT-RE 500 V3,Hilti Anchor Rod Spec (Jan 2025) p.13 standard program; setting data: Anchor Fastening Tech Guide Ed.22 Table 38 (HY 200 V3) = Table 24 (RE 500 V3); weight = all-thread lb/in x length + heavy hex nut + F436 washer (estimate),13.68,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03"
