family,product,diameter,length,length_in,weight_each_lb,weight_source,unit_price,price_source,default
Kwik Bolt,"Kwik Bolt TZ2 (KB-TZ2) carbon steel, zinc",1/4,2-1/8,2.125,0.040,fitted from Todd's Kwik-Bolt sheet weights for this diameter,0.94,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03",
Kwik Bolt,"Kwik Bolt TZ2 (KB-TZ2) carbon steel, zinc",1/4,2-1/2,2.5,0.045,fitted from Todd's Kwik-Bolt sheet weights for this diameter,1.18,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03",
Kwik Bolt,"Kwik Bolt TZ2 (KB-TZ2) carbon steel, zinc",1/4,3-1/4,3.25,0.056,fitted from Todd's Kwik-Bolt sheet weights for this diameter,1.43,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03",
Kwik Bolt,"Kwik Bolt TZ2 (KB-TZ2) carbon steel, zinc",1/4,4-1/2,4.5,0.074,fitted from Todd's Kwik-Bolt sheet weights for this diameter,1.42,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03",
Kwik Bolt,"Kwik Bolt TZ2 (KB-TZ2) carbon steel, zinc",3/8,2-1/2,2.5,0.091,fitted from Todd's Kwik-Bolt sheet weights for this diameter,1.41,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03",
Kwik Bolt,"Kwik Bolt TZ2 (KB-TZ2) carbon steel, zinc",3/8,3,3.0,0.107,fitted from Todd's Kwik-Bolt sheet weights for this diameter,1.65,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03",
Kwik Bolt,"Kwik Bolt TZ2 (KB-TZ2) carbon steel, zinc",3/8,3-1/2,3.5,0.123,Todd's Kwik-Bolt sheet (exact size),1.99,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03",
Kwik Bolt,"Kwik Bolt TZ2 (KB-TZ2) carbon steel, zinc",3/8,3-3/4,3.75,0.131,fitted from Todd's Kwik-Bolt sheet weights for this diameter,1.40,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03",
Kwik Bolt,"Kwik Bolt TZ2 (KB-TZ2) carbon steel, zinc",3/8,5,5.0,0.170,Todd's Kwik-Bolt sheet (exact size),3.02,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03",
Kwik Bolt,"Kwik Bolt TZ2 (KB-TZ2) carbon steel, zinc",3/8,7,7.0,0.233,fitted from Todd's Kwik-Bolt sheet weights for this diameter,3.63,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03",
Kwik Bolt,"Kwik Bolt TZ2 (KB-TZ2) carbon steel, zinc",1/2,3,3.0,0.207,fitted from Todd's Kwik-Bolt sheet weights for this diameter,2.56,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03",
Kwik Bolt,"Kwik Bolt TZ2 (KB-TZ2) carbon steel, zinc",1/2,3-3/4,3.75,0.245,Todd's Kwik-Bolt sheet (exact size),3.01,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03",
Kwik Bolt,"Kwik Bolt TZ2 (KB-TZ2) carbon steel, zinc",1/2,4-1/2,4.5,0.291,fitted from Todd's Kwik-Bolt sheet weights for this diameter,3.32,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03",
Kwik Bolt,"Kwik Bolt TZ2 (KB-TZ2) carbon steel, zinc",1/2,5-1/2,5.5,0.350,Todd's Kwik-Bolt sheet (exact size),2.52,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03",yes
Kwik Bolt,"Kwik Bolt TZ2 (KB-TZ2) carbon steel, zinc",1/2,7,7.0,0.430,Todd's Kwik-Bolt sheet (exact size),4.79,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03",
Kwik Bolt,"Kwik Bolt TZ2 (KB-TZ2) carbon steel, zinc",1/2,8-1/2,8.5,0.515,fitted from Todd's Kwik-Bolt sheet weights for this diameter,5.75,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03",
Kwik Bolt,"Kwik Bolt TZ2 (KB-TZ2) carbon steel, zinc",1/2,10,10.0,0.599,fitted from Todd's Kwik-Bolt sheet weights for this diameter,6.89,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03",
Kwik Bolt,"Kwik Bolt TZ2 (KB-TZ2) carbon steel, zinc",5/8,4-1/4,4.25,0.437,fitted from Todd's Kwik-Bolt sheet weights for this diameter,4.76,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03",
Kwik Bolt,"Kwik Bolt TZ2 (KB-TZ2) carbon steel, zinc",5/8,4-3/4,4.75,0.480,fitted from Todd's Kwik-Bolt sheet weights for this diameter,3.68,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03",
Kwik Bolt,"Kwik Bolt TZ2 (KB-TZ2) carbon steel, zinc",5/8,5-1/2,5.5,0.544,fitted from Todd's Kwik-Bolt sheet weights for this diameter,5.97,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03",
Kwik Bolt,"Kwik Bolt TZ2 (KB-TZ2) carbon steel, zinc",5/8,6,6.0,0.590,Todd's Kwik-Bolt sheet (exact size),6.34,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03",
Kwik Bolt,"Kwik Bolt TZ2 (KB-TZ2) carbon steel, zinc",5/8,7,7.0,0.673,fitted from Todd's Kwik-Bolt sheet weights for this diameter,8.15,"hilti.com net price (Berger account), small-pack price / pack qty 2026-09-03",
